ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,foul_committed_offensive,injury_stoppage_in_chain,pass_outswinging,pass_miscommunication,bad_behaviour_card,ball_recovery_offensive,pass_straight,50_50,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,shot_open_goal,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,shot_saved_off_target,shot_saved_to_post,block_save_block,dribble_no_touch,shot_redirect,shot_follows_dribble,goalkeeper_success_in_play,goalkeeper_lost_in_play,half_start_late_video_start,player_off_permanent,goalkeeper_lost_out,half_end_early_video_end,goalkeeper_success_out
,,,,,,,,,,,,,,,,,0.930049,,,,,,,,,,,,6435ef67-75dc-4254-bcb8-7cf00dc257ba,3011,,"[49.9, 40.4]",9602,75,,,,,-0.3780584,,Right Foot,,,,"[64.0, 34.8]",,Ground Pass,,15.171354,,,Lionel Andrés Messi Cuccittini,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,143,Barcelona,217,['9e2d9f23-82fb-4658-ab09-d28a12174ba2'],27,,,,,,,,,,,,,,,,Barcelona,217,00:30:27.670,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2.072423,,,,,,,,,,,,b647efdd-80c2-47a7-a9cf-deea2d9c2e07,3289,,"[41.5, 49.4]",9602,83,,,,,0.22024873,,Right Foot,,,,"[68.3, 55.4]",,Ground Pass,,27.46343,,,Lionel Andrés Messi Cuccittini,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,162,Barcelona,217,['33b9a275-a4b2-44a5-b19d-08f18eba58e9'],28,,,,,,,,,,,,,,,,Barcelona,217,00:38:28.028,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.257788,,,,,,,,,,,,f92f6f55-f823-428b-82b6-40b41b377a63,2769,,"[28.7, 42.2]",9948,68,,,,,0.18736725,,Left Foot,,,,"[55.6, 47.3]",,Ground Pass,,27.379189,,,Lionel Andrés Messi Cuccittini,,,,,,2,From Goal Kick,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,136,Barcelona,217,['21f94825-575b-428e-8107-715ae8f95abe'],20,,,,,,,,,,,,,,,,Barcelona,217,00:23:20.467,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.231858,,,,,,,,,,,,91793538-7401-41bd-a4f3-19b855c00217,3100,,"[33.2, 35.3]",9948,76,,,,,0.4249216,,Left Foot,,,,"[55.3, 45.3]",,Ground Pass,,24.257164,,,Lionel Andrés Messi Cuccittini,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,151,Barcelona,217,['1c6acaad-151a-427a-947a-f3fcd3b6b515'],8,,,,,,,,,,,,,,,,Barcelona,217,00:31:08.044,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.449169,,,,,,,,,,,,cf6e67fa-ca30-4568-b420-b6700374a2b1,3203,,"[79.4, 37.1]",9948,78,,True,,,1.3604704,,Right Foot,,,,"[81.3, 46.0]",,Ground Pass,,9.10055,,,Lionel Andrés Messi Cuccittini,,,,,Free Kick,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,159,Barcelona,217,['f85221b9-2383-4dda-b5ea-d4ceb4eb25f0'],53,,,,,,,,,,,,,,,,Barcelona,217,00:33:53.530,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.274473,,,,,,,,,,,,d2a9aeb2-4c24-45e2-be4c-37dd7b7c4675,3359,,"[95.0, 62.0]",9948,83,,,,,-0.16183743,,Right Foot,,,,"[109.7, 59.6]",,Ground Pass,,14.8946295,,Pass Offside,Lionel Andrés Messi Cuccittini,,,Through Ball,True,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,169,Barcelona,217,['27e83694-4633-416f-b6e9-b7247e2be9af'],54,,,,,,,,,,,,,,,,Barcelona,217,00:38:54.198,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,4394de70-ad12-406b-b8d1-645e619fd137,124,,"[51.3, 38.3]",9682,2,,,,,-0.27609703,,Right Foot,,,,"[63.3, 34.9]",,Ground Pass,,12.472369,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,5,Barcelona,217,['26406746-588a-4032-82a8-f977b3b4fa95'],25,,,,,,,,,,,,,,,,Barcelona,217,00:02:25.378,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.97832,,,,,,,,,,,,50b2cd8b-5dd3-4cb2-8745-40bcadf38364,313,,"[83.3, 20.4]",9682,7,,,,,-0.048155513,,Right Foot,,,,"[91.6, 20.0]",,Ground Pass,,8.309633,,,Lionel Andrés Messi Cuccittini,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,20,Barcelona,217,"['252e4e77-3027-4078-919a-aa7cfced7ad2', 'c0cd5fff-46d2-4a1c-8d4f-1b9faa8e54ec']",14,,,,,,,,,,,,,,,,Barcelona,217,00:07:14.455,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.862628,,,,,,,,,,,,c587e622-b632-4b09-b214-0a5ebe42e16e,653,,"[70.0, 24.2]",9682,15,,,,,0.77001476,,Right Foot,,,,"[79.9, 33.8]",,Ground Pass,,13.790214,,,Lionel Andrés Messi Cuccittini,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,33,Barcelona,217,['17fc343e-2475-458f-a637-2fb81d0af216'],33,,,,,,,,,,,,,,,,Barcelona,217,00:15:33.819,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.118465,,,,,,,,,,,,f60b2daa-7de6-41fa-b154-e8ee6d9821ab,740,,"[54.5, 41.3]",9682,18,,,,,0.2721459,,Right Foot,,,,"[71.7, 46.1]",,Ground Pass,,17.857212,,,Lionel Andrés Messi Cuccittini,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,41,Barcelona,217,['1387107b-1d2f-4adc-9ac4-a88c5c772650'],7,,,,,,,,,,,,,,,,Barcelona,217,00:18:07.273,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.599581,,,,,,,,,,,,1a6e899a-93e0-4537-b61b-d721b8665ef1,775,,"[76.4, 22.7]",9682,19,,,,,1.5707964,,Left Foot,,,,"[76.4, 28.2]",,Ground Pass,,5.5,,,Lionel Andrés Messi Cuccittini,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,42,Barcelona,217,['e92fcc3b-18bc-4a07-9d70-e712009dd84e'],6,,,,,,,,,,,,,,,,Barcelona,217,00:19:06.825,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,9fd5d7e2-125f-41ce-9191-0c681921970f,867,,"[36.5, 20.9]",9682,21,,,,,-0.21506813,,Right Foot,,,,"[57.1, 16.4]",,Ground Pass,,21.085777,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,45,Barcelona,217,['de7542e5-e0e6-446f-b966-ea595dcfad74'],8,,,,,,,,,,,,,,,,Barcelona,217,00:21:08.262,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.583838,,,,,,,,,,,,8cb59337-d95f-48a2-b12e-bad8611865fd,1548,,"[66.3, 41.8]",9682,38,,,,,-1.0896578,,Right Foot,,,,"[73.4, 28.2]",,Ground Pass,,15.341773,,,Lionel Andrés Messi Cuccittini,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,73,Barcelona,217,['fca7c3eb-438f-4131-ac62-94ca6ea10d95'],30,,,,,,,,,,,,,,,,Barcelona,217,00:38:30.048,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.578326,,,,,,,,,,,,861bd89f-0d2d-44c2-ba96-f40c85e55eed,1876,,"[41.3, 47.8]",9682,45,,,,,0.11658601,,Right Foot,,,,"[63.5, 50.4]",,Ground Pass,,22.351734,,Incomplete,Lionel Andrés Messi Cuccittini,,,,,,2,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,88,Barcelona,217,"['9c4528c6-7dc5-4add-abe6-14180e9dbacd', 'd15f5fb4-8864-4771-8287-fc5def1bb7f6']",53,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.164,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,6f708900-5486-4b25-8dbc-b646e62b1fda,3232,,"[54.7, 28.1]",9682,83,,,,,1.2336285,,Right Foot,,,,"[64.2, 55.2]",,Ground Pass,,28.716894,,,Lionel Andrés Messi Cuccittini,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,185,Barcelona,217,['9ebbb8e4-004f-4ed7-aa7d-b1af5240abf1'],42,,,,,,,,,,,,,,,,Barcelona,217,00:38:42.779,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.740468,,,,,,,,,,,,b67cea2b-4c7a-4437-a967-807fd45c95a6,399,,"[80.5, 33.0]",9581,7,,,,,-0.14843291,330e2f1c-697b-46b7-9525-130e7cc4ad2e,Right Foot,,,,"[91.2, 31.4]",,Ground Pass,,10.818965,,,Lionel Andrés Messi Cuccittini,True,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,14,Barcelona,217,['3ce5e6e5-1262-4e64-bfff-b4b420353ded'],59,,,,,,,,,,,,,,,,Barcelona,217,00:07:59.528,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.052247,,,,,,,,,,,,b00afdb6-af6b-42b1-b004-7661fe0c3598,1184,,"[46.6, 49.1]",9581,22,,,,,0.15349992,,Right Foot,,,,"[73.1, 53.2]",,Ground Pass,,26.815294,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,39,Barcelona,217,['ec72eafb-3ab4-4835-8f3e-67cd84f87e40'],49,,,,,,,,,,,,,,,,Barcelona,217,00:22:49.609,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
